county,zip,res_ratio,bus_ratio,oth_ratio,tot_ratio
01015,36254,0.000000000,0.000144363,0.000000000,0.000013305
01015,36250,0.030423142,0.024541649,0.033381713,0.029935340
01015,36272,0.073111267,0.063230836,0.053701016,0.071844815
01015,36271,0.048820617,0.013858813,0.010885341,0.044903009
01015,36257,0.006012833,0.005341418,0.000725689,0.005854022
01015,36204,0.010784211,0.014436264,0.000725689,0.010936377
01015,36205,0.014747895,0.012703912,0.048621190,0.015180543
01015,36265,0.159953333,0.079543814,0.222060958,0.153681382
01015,36253,0.000000000,0.000288725,0.000000000,0.000026609
01015,36277,0.039621880,0.006640681,0.015965167,0.036148586
01015,36202,0.027536384,0.092103364,0.001451379,0.033008701
01017,36855,0.048427900,0.017593244,0.027173913,0.045987333
01017,36862,0.176674067,0.192118227,0.296195652,0.179790150
01017,36274,0.016159843,0.014778325,0.008152174,0.015927781
01017,36863,0.364654861,0.380717804,0.418478261,0.366669818
01017,36850,0.009189943,0.005629838,0.005434783,0.008885528
01017,36852,0.016108214,0.014778325,0.005434783,0.015833255
01017,36854,0.335381279,0.363828290,0.228260870,0.335428679
01017,36879,0.016521245,0.005629838,0.008152174,0.015644201
01017,36276,0.009912747,0.004926108,0.000000000,0.009405426
01017,36801,0.006969900,0.000000000,0.002717391,0.006427829
01019,35967,0.012309414,0.005599104,0.000000000,0.011780786
01019,35961,0.020492377,0.011198208,0.000000000,0.019721427
01019,35973,0.110295146,0.026875700,0.023121387,0.104464983
01019,35960,0.393831305,0.724524076,0.578034682,0.415126269
01019,35984,0.011610015,0.000000000,0.011560694,0.010934652
01019,35903,0.002168135,0.001119821,0.000000000,0.002082791
01019,35901,0.002937474,0.003359462,0.000000000,0.002928925
01019,36275,0.000000000,0.001119821,0.000000000,0.000065087
01019,35959,0.198279480,0.082866741,0.225433526,0.191877115
01019,36272,0.104070499,0.035834267,0.034682081,0.099323093
01019,35983,0.144006155,0.107502800,0.127167630,0.141694871
01021,36091,0.086529529,0.038517442,0.050000000,0.083523033
01021,36793,0.007387746,0.007267442,0.011111111,0.007408634
01021,36792,0.010971024,0.004360465,0.000000000,0.010512810
01021,36790,0.005485512,0.000726744,0.000000000,0.005173627
01021,35085,0.190754258,0.097383721,0.094444444,0.184719176
01021,36750,0.063481531,0.041424419,0.066666667,0.062249079
01021,36006,0.008670648,0.005087209,0.022222222,0.008567526
01021,35040,0.021676620,0.005087209,0.033333333,0.020818675
01021,35045,0.327715107,0.686046512,0.577777778,0.349985514
01021,35115,0.055739881,0.004360465,0.050000000,0.052770995
01021,35046,0.132006193,0.062500000,0.038888889,0.127354000
01021,36051,0.010838310,0.002906977,0.000000000,0.010305865
01021,36758,0.010926786,0.005813953,0.000000000,0.010554199
01021,35171,0.067816855,0.038517442,0.055555556,0.066056869
01023,36922,0.048631374,0.006493506,0.000000000,0.045897803
01023,36912,0.144087814,0.012987013,0.000000000,0.135613054
01023,36919,0.144921495,0.077922078,0.000000000,0.140293850
01023,36913,0.003612616,0.006493506,0.000000000,0.003770641
01023,36910,0.005002084,0.004329004,0.000000000,0.004940840
01023,36915,0.053911352,0.015151515,0.062500000,0.051618775
01023,36921,0.088092261,0.032467532,0.000000000,0.084384345
01023,36904,0.315270251,0.692640693,0.875000000,0.340267846
01023,36908,0.151174100,0.116883117,0.062500000,0.148745287
01023,36558,0.001806308,0.000000000,0.000000000,0.001690287
01023,36916,0.043490343,0.034632035,0.000000000,0.042777272
01025,36524,0.047848665,0.020850709,0.014234875,0.045053476
01025,36545,0.365949555,0.434528774,0.384341637,0.371791444
01025,36540,0.036721068,0.005004170,0.000000000,0.033489305
01025,36782,0.000074184,0.000000000,0.000000000,0.000066845
01025,36446,0.000000000,0.000834028,0.000000000,0.000066845
01025,36436,0.020474777,0.005838198,0.003558719,0.018983957
01025,36482,0.046068249,0.010008340,0.007117438,0.042446524
01025,36784,0.283605341,0.402001668,0.341637011,0.294184492
01025,36451,0.184495549,0.120100083,0.241992883,0.180414439
01025,36751,0.005934718,0.000834028,0.000000000,0.005414439
01025,36727,0.008827893,0.000000000,0.007117438,0.008088235
01027,36255,0.071654707,0.028818444,0.000000000,0.068468648
01027,36276,0.018362178,0.017291066,0.000000000,0.017887310
01027,35089,0.002321655,0.008645533,0.000000000,0.002484349
01027,35160,0.047699451,0.005763689,0.004166667,0.045215145
01027,36251,0.356585057,0.400576369,0.766666667,0.367882341
01027,36266,0.317222457,0.365994236,0.212500000,0.316406638
01027,35082,0.000000000,0.002881844,0.000000000,0.000099374
01027,36256,0.004010131,0.002881844,0.000000000,0.003875584
01027,36267,0.000000000,0.002881844,0.000000000,0.000099374
01027,36258,0.080941325,0.129682997,0.016666667,0.081089138
01027,36268,0.002532714,0.000000000,0.000000000,0.002384975
01027,35072,0.098670325,0.034582133,0.000000000,0.094107125
01029,36262,0.099258344,0.067028986,0.055555556,0.096685714
01029,36258,0.042027194,0.034420290,0.027777778,0.041371429
01029,36207,0.003461063,0.000000000,0.000000000,0.003200000
01029,36261,0.000000000,0.001811594,0.000000000,0.000114286
01029,36269,0.091100124,0.023550725,0.064814815,0.086514286
