Date,ZipCode,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
9/30/2017,49442,MI,Muskegon,Muskegon,Muskegon Township,1376,758,0.00397351,0.016085791,0.029891304,12384
9/30/2017,27103,NC,Winston-Salem,Forsyth,Winston-Salem,1377,1124,0.005366726,0.022747953,0.039777983,12528
9/30/2017,98004,WA,Seattle,King,Bellevue,1378,3312,0.000302024,0.010372178,0.059162136,11978
9/30/2017,38501,TN,Cookeville,Putnam,Cookeville,1379,1036,0.012707722,0.04752275,0.017681729,11920
9/30/2017,27609,NC,Raleigh,Wake,Raleigh,1380,1489,-0.000671141,-0.006008011,0.029737206,10658
9/30/2017,15317,PA,Pittsburgh,Washington,North Strabane Township,1381,1716,-0.015490534,-0.031602709,-0.057660626,15893
9/30/2017,10459,NY,New York,Bronx,New York,1382,1835,0.005479452,0.024567281,0.011019284,2409
9/30/2017,77581,TX,Houston,Brazoria,Pearland,1383,1810,0.000552792,-0.001654716,-0.030530262,13616
9/30/2017,55408,MN,Minneapolis-St Paul,Hennepin,Minneapolis,1384,1563,0.001923077,0.007087629,0.023575639,7213
9/30/2017,20176,VA,Washington,Loudoun,Leesburg,1385,2427,-0.004103406,-0.008173273,0.022756005,15523
9/30/2017,78229,TX,San Antonio,Bexar,San Antonio,1386,1200,0.0041841,0.009251472,0.031814273,4804
9/30/2017,30324,GA,Atlanta,Fulton,Atlanta,1387,2036,0.00842001,0.026727181,0.063185379,7762
9/30/2017,92028,CA,San Diego,San Diego,Fallbrook,1388,2555,0.005509642,0.017522899,0.042006525,13228
9/30/2017,44134,OH,Cleveland,Cuyahoga,Parma,1389,1075,0,-0.000929368,0.019924099,15084
9/30/2017,48911,MI,Lansing,Ingham,Lansing,1390,907,0.006659267,0.022547914,0.123915737,10613
9/30/2017,94605,CA,San Francisco,Alameda,Oakland,1391,2787,0.009051412,0.017153285,0.033753709,13320
9/30/2017,94066,CA,San Francisco,San Mateo,San Bruno,1392,3631,-0.001375138,0.002208115,-0.013047024,12754
9/30/2017,92691,CA,Los Angeles-Long Beach-Anaheim,Orange,Mission Viejo,1393,3073,0.002937337,0.015532056,0.037474679,16051
9/30/2017,85712,AZ,Tucson,Pima,Tucson,1394,1072,0.008466604,0.043816943,0.089430894,10314
9/30/2017,34667,FL,Tampa,Pasco,Hudson,1395,1230,-0.000812348,0.008196721,0.070496084,14044
9/30/2017,46254,IN,Indianapolis,Marion,Indianapolis,1396,1119,0.00448833,0.018198362,0.016348774,10136
9/30/2017,29150,SC,Sumter,Sumter,Sumter,1397,780,0.006451613,0.011673152,0.011673152,17612
9/30/2017,84043,UT,Provo,Utah,Lehi,1398,1586,0.003162555,0.016015375,0.014066496,16519
9/30/2017,70003,LA,New Orleans,Jefferson,Metairie,1399,1486,0.007457627,0.025534852,0.06829619,14154
