C:\Users\czhao\AppData\Local\Programs\Python\Python36-32\python.exe "C:/Users/czhao/Documents/AI 1/Technica/processdata.py"
39.352921 -76.643099
39.174757 -76.850878
39.36247 -76.72138
39.268221 -76.650846
39.286581 -76.571602
39.231008 -76.597395
39.336284 -76.675498
39.349388 -76.536604
39.299482 -76.44684
39.299912 -76.738896
39.293665 -76.619606
39.28993 -76.68907
39.325611 -76.561019
39.259838 -76.715255
39.341421 -76.531855
38.902562 -77.034461
39.33796 -76.700302
39.387732 -76.605865
39.283881 -76.649906
38.926364 -77.036471
39.291541 -76.620996
39.387895 -76.613345
39.383372 -76.57225
39.294048 -76.594671
39.396799 -76.74813
39.357938 -76.692714
39.278866 -76.708771
39.377333 -76.730102
39.368312 -76.707233
39.291948 -76.703777
39.129876 -76.593419
39.341085 -76.455393
39.318906 -76.654846
39.377183 -76.505764
39.305151 -76.602294
39.293028 -76.696871
39.558089 -76.07318
39.310167 -76.446306
39.303372 -76.616296
39.327055 -76.626377
39.314055 -76.449392
39.314624 -76.609613
39.249819 -76.623563
39.359539 -76.455082
39.333781 -76.663893
39.403847 -76.7889
39.310764 -76.619295
39.291406 -76.56588
39.105464 -76.834411
39.304372 -76.616022
39.145736 -76.792452
39.288455 -76.641999
39.320395 -76.672887
38.980789 -76.494455
39.356769 -76.528228
39.275441 -76.69397
39.400228 -76.602391
39.285858 -76.668846
39.31821 -76.60214
39.328176 -76.685486
39.259443 -76.697208
39.34918 -76.478028
39.359896 -76.680175
39.291647 -76.708509
39.320395 -76.672887
39.362262 -77.826636
39.285332 -76.603207
39.318462 -76.657625
39.308836 -76.671501
39.45557 -76.824923
39.367614 -76.450199
39.257477 -76.673362
39.285888 -76.584456
39.301425 -76.623155
39.313022 -76.599732
39.278382 -76.576519
39.328287 -76.617578
39.382227 -76.571027
39.287332 -76.627704
39.209542 -77.382234
39.216449 -76.821379
39.392973 -76.582278
39.341407 -76.621503
39.294152 -76.590415
39.35912 -76.681929
39.292876 -76.622226
39.294845 -76.705185
39.318584 -76.703689
39.177735 -76.800303
39.423567 -76.80571
38.876613 -77.00561
39.00311 -76.958798
39.356769 -76.528228
39.282612 -76.571199
39.372075 -76.678606
39.29597 -76.619751
39.281811 -76.684467
39.405086 -76.598205
39.366646 -76.572505
39.38313 -76.578407
39.492158 -76.655177
39.286539 -76.571312
39.282672 -76.644509
39.302668 -76.685269
39.383696 -76.657344
39.291085 -76.605431
39.387732 -76.605865
39.291221 -76.610525
39.277651 -76.572193
39.272088 -76.547112
39.335331 -76.684494
39.298638 -76.628584
39.238219 -76.608822
39.289173 -76.593975
39.309434 -76.641841
39.062044 -76.884971
39.296878 -76.621473
39.310844 -76.675954
39.283995 -76.73039
39.496233 -76.654095
39.355505 -76.58985
39.313062 -76.645941
39.301721 -76.585219
39.300842 -76.617646
39.35475 -76.463178
39.286728 -76.649907
39.002365 -76.481958
39.260888 -76.638952
39.302732 -76.68671
39.352041 -76.598524
39.284872 -76.713345
39.35712 -76.46962
39.29785 -76.623527
39.345584 -76.59951
39.23935 -76.646434
39.223764 -76.613526
39.335311 -76.564056
39.372859 -76.671617
39.257372 -76.519096
39.273078 -76.727077
39.265927 -76.584132
39.341256 -76.554909
39.277244 -76.612453
39.319896 -76.575811
39.340108 -76.584829
39.271242 -76.47136
39.287568 -76.659168
39.340103 -76.619986
39.331049 -76.632351
39.272577 -76.613885
39.231229 -76.597477
39.367678 -76.634363
39.177583 -76.821762
39.216131 -76.676564
39.057118 -76.528422
39.364095 -76.593729
39.205527 -76.84671
38.895056 -77.028261
39.353703 -76.531738
39.513688 -76.329271
39.294224 -76.67314
38.979992 -76.5234
39.268443 -76.469373
39.308388 -76.476123
39.294048 -76.594671
39.356329 -76.596025
39.260888 -76.638952
39.531649 -76.329231
39.298025 -76.601551
38.892168 -77.025794
39.309779 -76.646838
39.279072 -76.729619
39.289937 -76.62786
39.317148 -76.650874
39.373742 -76.662337
39.293892 -76.647063
39.422083 -76.617287
39.361237 -76.602262
39.29811 -76.599748
39.286811 -76.628306
39.181234 -76.668364
39.244744 -76.640952
39.289612 -76.623778
39.289653 -76.549552
39.296007 -76.740631
39.443875 -76.810443
39.293031 -76.624002
39.327953 -76.533616
39.369872 -76.583597
39.333443 -76.635807
39.39128 -76.741588
39.225654 -76.613339
39.385841 -76.532346
39.294696 -76.573227
39.413378 -76.80233
39.303283 -76.542779
39.309115 -76.664061
39.287514 -76.627969
39.285678 -76.602984
39.181555 -76.549009
39.30353 -76.542916
39.321758 -76.732449
39.296411 -76.617047
39.356489 -76.466991
39.312451 -76.566529
39.333941 -76.632757
39.371682 -76.685584
39.31089 -76.675918
39.222969 -76.58959
39.31269 -76.526631
39.424652 -76.786651
39.278944 -76.534392
