C:\Users\czhao\AppData\Local\Programs\Python\Python36-32\python.exe "C:/Users/czhao/Documents/AI 1/Technica/processdata.py"
39.367213 -76.6488
39.394917 -76.603823
39.294351 -76.58218
39.285986 -76.5816
39.319421 -76.600753
39.268443 -76.469373
39.298251 -76.594089
38.87652 -76.992725
39.257422 -76.644667
39.42762 -76.790329
39.311879 -76.584739
39.291987 -76.536061
39.255045 -76.522876
39.310293 -76.731848
39.236299 -76.602576
39.248911 -76.519643
39.361346 -76.546765
39.325574 -76.676871
39.323246 -76.571277
39.308737 -76.600329
39.345371 -76.671616
39.340164 -76.585006
39.31692 -76.603248
39.277065 -76.73299
39.377945 -76.708122
39.450994 -76.81891
39.237753 -76.508249
39.193672 -76.683984
39.205859 -76.573465
39.35578 -76.688354
39.3031 -76.625421
39.249138 -76.61635
39.298173 -76.448404
38.900203 -77.008878
39.222969 -76.58959
39.288035 -76.710258
39.393374 -76.564008
38.884116 -77.021637
39.294351 -76.58218
39.300744 -76.446183
39.268515 -76.747514
39.257031 -76.533095
39.128922 -76.587998
39.555251 -76.273405
38.981193 -76.528086
38.986941 -76.502365
39.285869 -76.588624
39.264679 -76.489707
39.295383 -76.638642
39.308137 -76.532652
39.150016 -76.637213
39.307189 -76.590303
38.902626 -77.039246
39.322304 -76.679936
39.332218 -76.66108
38.89537 -77.041516
39.349188 -76.537154
39.278913 -76.671498
39.172201 -76.806566
39.601879 -77.732109
39.37194 -76.460491
39.310029 -76.707556
39.327089 -76.46502
39.308111 -76.609082
38.902219 -77.043328
39.307833 -76.64617
39.320816 -76.572205
39.337028 -76.456489
39.347084 -76.599479
39.351215 -76.591026
39.344677 -76.586197
39.310167 -76.446306
39.251342 -76.694637
39.239331 -76.507045
38.876367 -77.000598
39.358934 -76.749578
39.027125 -77.072188
39.333781 -76.663893
39.339949 -76.593971
39.324253 -76.623928
39.299661 -76.625768
39.262086 -76.614544
39.337231 -76.630119
39.446269 -76.813358
39.398084 -76.563491
39.305318 -76.63672
39.397726 -76.603252
39.329266 -76.669349
39.291286 -76.510182
39.357321 -76.670862
